machine_id,current_energy,predicted_24h_avg_energy,predicted_24h_max_energy,predicted_status,confidence_or_risk_score,regression_rmse,classification_f1,last_timestamp
machine_12,3.9775,2.9539,4.794,Critical,0.6,0.3603,0.324,2025-03-10 10:00:00
machine_13,1.13,2.871,4.5473,Warning,0.56,0.3473,0.2122,2025-03-10 10:00:00
machine_15,0.55,2.6732,4.605,Warning,0.655,0.4275,0.3265,2025-03-10 10:00:00
machine_17,4.02,2.8761,4.5088,Critical,0.58,0.3663,0.3397,2025-03-10 08:00:00
machine_18,4.73,2.7447,4.768,Warning,0.595,0.3444,0.4285,2025-03-10 10:00:00
machine_19,3.93,2.6386,4.875,Normal,0.53,0.3526,0.283,2025-03-10 10:00:00
machine_2,4.05,2.7646,4.6184,Critical,0.455,0.3153,0.4086,2025-03-10 09:00:00
machine_21,4.385,2.25,4.3141,Normal,0.895,0.4513,0.2423,2025-03-10 07:00:00
machine_22,3.27,2.6428,4.4192,Normal,0.655,0.4824,0.2316,2025-03-10 10:00:00
machine_23,1.9,2.6012,4.3159,Normal,0.41,0.3381,0.3349,2025-03-10 10:00:00
machine_24,1.55,2.2909,4.5153,Normal,0.39,0.35,0.3609,2025-03-10 10:00:00
machine_25,1.89,2.9021,4.7544,Critical,0.45,0.356,0.3951,2025-03-10 08:00:00
machine_26,1.4799999999999998,2.7752,4.8468,Warning,0.595,0.357,0.3011,2025-03-10 10:00:00
machine_29,1.76,2.784,4.52,Warning,0.685,0.3698,0.2767,2025-03-10 10:00:00
machine_3,1.16,2.7639,4.5999,Normal,0.47,0.3764,0.338,2025-03-10 10:00:00
machine_30,2.32,2.8778,4.367,Critical,0.415,0.3059,0.2926,2025-03-10 09:00:00
machine_32,3.31,3.0938,4.8892,Critical,0.565,0.3686,0.3937,2025-03-10 10:00:00
machine_34,1.58,2.8661,4.8591,Critical,0.485,0.3689,0.3321,2025-03-10 10:00:00
machine_36,0.89,2.974,4.5431,Critical,0.795,0.2954,0.3658,2025-03-10 09:00:00
machine_38,4.48,2.8657,4.4983,Critical,0.64,0.3733,0.3771,2025-03-10 06:00:00
machine_39,1.836666666666667,2.792,4.8562,Critical,0.38,0.3692,0.2656,2025-03-10 09:00:00
machine_4,3.015,2.9376,4.424,Warning,0.585,0.4321,0.2254,2025-03-10 09:00:00
machine_40,3.215,2.769,4.352,Warning,0.44,0.3502,0.2733,2025-03-10 10:00:00
machine_41,4.76,2.7879,4.1123,Warning,0.39,0.3076,0.3434,2025-03-10 10:00:00
machine_42,2.1833333333333336,2.5006,4.4364,Normal,0.535,0.3608,0.2754,2025-03-10 09:00:00
machine_45,0.6,2.9174,4.6872,Warning,0.4,0.3598,0.4389,2025-03-10 10:00:00
machine_46,1.57,2.8495,4.6705,Critical,0.415,0.4501,0.2869,2025-03-10 09:00:00
machine_47,1.7033333333333331,2.3442,4.5656,Critical,0.395,0.3543,0.2678,2025-03-10 10:00:00
machine_48,4.06,2.7488,4.5382,Normal,0.36,0.2969,0.4242,2025-03-10 09:00:00
machine_49,1.48,2.6645,4.3946,Normal,0.685,0.3971,0.3294,2025-03-10 10:00:00
machine_5,4.52,2.727,4.6442,Normal,0.645,0.3476,0.3547,2025-03-10 10:00:00
machine_7,0.71,2.832,4.3511,Warning,0.485,0.3428,0.3417,2025-03-10 08:00:00
machine_8,1.945,2.9911,4.4141,Warning,0.395,0.3732,0.3575,2025-03-10 09:00:00
machine_9,2.91,3.0465,4.6812,Critical,0.65,0.3857,0.2604,2025-03-10 10:00:00
